,SRR13711353_SE,SRR13711353-SRR13711354_SE,SRR13711353-SRR13711354-SRR13711355_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_SE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_SE,SRR13711353_PE,SRR13711353-SRR13711354_PE,SRR13711353-SRR13711354-SRR13711355_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356_PE,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357_PE,SRR12077404_SE,SRR12077404-SRR12077405_SE,SRR12077404-SRR12077405-SRR12077406_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_SE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_SE,SRR12077404_PE,SRR12077404-SRR12077405_PE,SRR12077404-SRR12077405-SRR12077406_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407_PE,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408_PE
sample_id,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR13711353,SRR13711353-SRR13711354,SRR13711353-SRR13711354-SRR13711355,SRR13711353-SRR13711354-SRR13711355-SRR13711356,SRR13711353-SRR13711354-SRR13711355-SRR13711356-SRR13711357,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408,SRR12077404,SRR12077404-SRR12077405,SRR12077404-SRR12077405-SRR12077406,SRR12077404-SRR12077405-SRR12077406-SRR12077407,SRR12077404-SRR12077405-SRR12077406-SRR12077407-SRR12077408
rna_dna,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,RNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq,DNA-Seq
layout,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE,SE,SE,SE,SE,SE,PE,PE,PE,PE,PE
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,105,206,293,386,503,315,643,929,1220,1599,177,327,496,628,986,326,609,928,1194,1774
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,82,163,229,301,397,243,495,712,934,1225,134,251,380,484,720,265,503,769,996,1438
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,73,146,206,272,356,234,477,687,900,1180,132,242,365,460,708,266,500,761,979,1438
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,257,535,794,1359,1978,558,2144,2679,4108,5914,829,1622,2332,3672,5442,1348,2692,5139,5945,7646
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,303,500,697,1455,1554,421,1275,1982,2608,3898,1052,1474,1948,2941,4473,1574,1715,3700,4620,5763
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,262,607,1077,1375,1393,382,888,1999,1993,3049,592,1135,2463,3204,3558,1274,2458,2513,3171,6082
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_br,2268068,12346212,60993044,44552516,49964984,2209292,8045980,38083104,29255648,13370128,1006500,1244444,1535768,1782244,2182168,1001252,1220048,1498132,1751396,2127840
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_7z,2541576,12347676,86409180,115856500,38933548,6177512,12440628,15545560,51638440,27057152,4166016,7027792,10507940,12922336,11706840,5408596,9928044,9832140,11933360,16429916
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_zpaq,3323344,12345628,82548156,25023080,15749188,8693736,11916852,68339352,13920196,17225096,5580032,8972000,10840528,11670612,12210620,7733388,10366496,12322064,14021076,15786872
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,28,55,76,96,120,83,171,252,323,417,128,237,357,450,602,250,465,705,906,1237
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,22,45,57,72,94,69,142,203,259,334,96,181,271,344,460,207,393,598,774,1060
s_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,20,39,53,68,86,73,149,217,277,360,97,178,267,335,447,213,402,609,781,1072
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,177,378,569,1358,1730,317,1096,2329,3017,4146,757,1653,1774,3436,4717,1446,2432,4723,5630,6907
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,230,466,639,1414,1695,405,1106,2075,2415,3704,745,1447,2715,2922,3990,1176,2402,3686,4170,6496
t_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_zpaq,261,579,1020,1313,1309,341,797,1827,2566,3779,551,1509,2378,3117,4131,742,2434,2477,4328,4781
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_br,2270096,12345528,86703580,195327640,233758628,2211336,8046524,81351580,174537972,30146256,1006740,1244456,1533716,1782288,2180796,1001224,1220044,1496120,1749748,2127660
m_compress_abridge_ignore_soft_clippings_ignore_mismatches_ignore_quality_scores_ignore_unmapped_reads_7z,2270096,12345660,65796000,66090028,181143852,2211288,8051060,56937776,8194760,14220400,2874368,5200436,7142160,8922328,11637564,3611748,6397988,9805180,11953296,16369832
